CustomerID;LastName;FirstName;CustomerSince;CheckingBalance;DepositBalance;InvestmentDate;MaturityDate
1;Hawk;Mike;30.10.10;16768;108587728;05.09.2019;09.05.2042
1;Hawk;Mike;30.10.10;500;28612220;29.12.2016;27.10.2011
1;Hawk;Mike;30.10.10;0;983804;30.09.2015;18.03.2057
2;Dover;Ben;06.08.23;48857;113472246;26.07.1930;30.10.1962
5;Bobsgu;Juerdo;04.12.87;79087;1160460;25.03.1989;14.06.1995
5;Bobsgu;Juerdo;04.12.87;0;93821198;20.07.1990;12.06.2029
6;Tickles;Tess;10.08.74;77101;114617371;08.11.1975;29.08.1981
7;Cyder;Dickins;18.12.98;55687;118966308;12.10.2002;02.10.2009
8;Inma Shool;Ramit;11.05.64;98081;25010654;13.10.1970;06.07.2008
8;Inma Shool;Ramit;11.05.64;0;99701482;27.04.1965;16.10.2009
8;Inma Shool;Ramit;11.05.64;0;67718902;02.07.1970;13.06.1986
8;Inma Shool;Ramit;11.05.64;0;54949026;16.12.1964;24.05.1986
8;Inma Shool;Ramit;11.05.64;0;29929312;17.08.1968;22.02.2004
9;Sheith;Ho-Lee;15.02.84;65475;103310663;19.05.1989;02.09.1995
10;Zib;Akbar;07.04.60;43873;95063438;24.05.1961;16.10.1961
12;Tador;Conqueef;07.03.68;46430;29266552;05.08.1970;03.08.1998
18;Weh;Awimba;13.06.99;87236;49662599;16.12.2007;16.02.2014
19;Osas;Uwuwewewe Onyetenwewe Ugweuhem ;25.12.61;53501;149821084;04.05.1964;05.10.2007
19;Osas;Uwuwewewe Onyetenwewe Ugweuhem ;25.12.61;0;52289212;22.11.1964;28.06.1975
20;Yahouse;Amin;15.03.13;15977;134146214;12.07.1920;02.11.1959
28;Tuorkhart;Gunnar;19.09.03;85403;108345298;06.01.2008;02.03.2051
30;Sergey;Dubis;20.07.21;34267;33063274;31.10.1926;17.05.1958
