EmployeeID;FirstName;LastName;Salary;Department;Manager
21;Sara;Mcguire;192639;Alpha-Department;20
22;Alisha;Hebert;149454;Human Resources;5
23;Gwendolyn;Sheppard;228812;Diversity;9
24;Kristine;Mccann;230515;Strategic Communication;18
25;Bobby;Pittman;290400;Strategic Communication;18
26;Calvin;Ramsey;219741;Internal Communication;14
27;Collin;Allison;255643;Business Analysis;6
28;Nicholas;Branch;149883;Sales and Marketing;1
29;Emma;Robinson;140863;Externam Communication;15
30;Pedro;Cordova;250635;Alpha-Department;20
31;Jean;Aguilar;397935;Strategic Communication;18
32;Dwayne;Hutchinson;270876;Alpha-Department;20
33;Bradley;Velazquez;360155;Distribution and Shipping;3
34;Samantha;Moon;63337;Financial Services;4
35;Clayton;Erickson;239752;Executive Support & Management Board;16
36;Bradley;Bright;141149;Mergers and Aquisition;2
37;Ernest;Maynard;44743;Key-Account-Group;7
38;Joe;Larsen;291750;Internal Communication;14
39;Alfred;Barrera;102410;Distribution and Shipping;3
40;Jon;Wagner;203632;Distribution and Shipping;3
41;Glen;Calderon;283741;Research;12
42;Marco;Sharp;52370;Customer Relationship Management;8
43;Jermaine;Liu;213287;Strategic Communication;18
44;Cindy;Haynes;76541;Human Resources;5
45;Meghan;Blanchard;205273;Internal Communication;14
46;Julie;Delacruz;121334;Liberterian Relationship;19
47;Jackie;Munoz;174265;Internal Communication;14
48;Maureen;Vasquez;190856;Sales and Marketing;1
49;Theresa;Riddle;262615;Research;12
50;Jenny;Wiley;287543;Externam Communication;15
51;Kirsten;Bailey;345130;Liberterian Relationship;19
52;Melody;Wiggins;314739;Customer Relationship Management;8
53;Ruth;Bolton;103937;Sales and Marketing;1
54;Jacqueline;Frederick;323834;Liberterian Relationship;19
55;Theresa;Gilmore;399633;Executive Support & Management Board;16
56;Stanley;Underwood;324539;Internal Communication;14
57;Brandy;Heath;114623;Mergers and Aquisition;2
58;Terrence;Tucker;393779;Controlling;10
59;Mary;Ferguson;322352;Mergers and Aquisition;2
60;Rachel;Rice;51897;Externam Communication;15
61;Allison;Clay;180960;Cantine & Beverage Management;17
62;Tom;Rivas;352113;Key-Account-Group;7
63;Monique;Ferguson;263767;Financial Services;4
64;Denise;Cardenas;40970;Human Resources;5
65;Ross;Wiley;366069;Financial Services;4
66;Curtis;Oconnell;113537;Social and Charity;13
67;Terry;Hanna;239444;Human Resources;5
68;Ernest;Wilkerson;68332;Liberterian Relationship;19
69;Tabitha;Odonnell;255731;Executive Support & Management Board;16
70;Joshua;Hooper;284048;Human Resources;5
71;Vanessa;Huynh;86745;Research;12
72;Lucas;Pittman;98774;Diversity;9
73;Jaclyn;Cohen;262420;Controlling;10
74;Jill;Shannon;132380;Internal Communication;14
75;Bradley;Hull;350561;Business Analysis;6
76;Roberto;Walton;254159;Strategic Communication;18
77;Chase;Beard;222619;Alpha-Department;20
78;Ellen;Scott;215122;Strategic Communication;18
79;Bridget;Spence;323042;Internal Communication;14
80;Katie;Wells;265632;Internal Communication;14
81;Breanna;Cardenas;64808;Liberterian Relationship;19
82;Beverly;Sanford;393006;Externam Communication;15
83;Tonya;Riggs;165399;Executive Support & Management Board;16
84;Chloe;Beck;399408;Distribution and Shipping;3
85;Abigail;Parks;296855;Executive Support & Management Board;16
86;Lorraine;Castaneda;327016;Social and Charity;13
87;Ashlee;Boyd;213796;Sales and Marketing;1
88;Carl;Lucero;75933;Cantine & Beverage Management;17
89;Cassidy;Chambers;370128;Human Resources;5
90;Andres;Barajas;369890;Key-Account-Group;7
91;Stephanie;Phillips;203615;Business Analysis;6
92;Gabriel;Villanueva;63769;Investigation;11
93;Eugene;Cooper;193013;Customer Relationship Management;8
94;Johnathan;Henderson;345207;Research;12
95;Jocelyn;Ross;292537;Controlling;10
96;Chelsea;Hester;239140;Internal Communication;14
97;Darrell;Kent;206875;Human Resources;5
98;Beverly;Hurst;338467;Key-Account-Group;7
99;Paul;Hart;205635;Cantine & Beverage Management;17
100;Amber;Kaiser;86674;Diversity;9
101;Kerry;Weiss;153739;Externam Communication;15
102;Donna;Donaldson;47615;Liberterian Relationship;19
103;Wesley;Gomez;105237;Strategic Communication;18
