EmployeeID;FirstName;LastName;SSN;Salary;ManId
20;Abdellah;Veera;248526056;101199;2
21;Adeel;Osturnka;860926324;100416;17
22;Adil;Sahoo;966261078;100031;14
23;Adrienne;J Homberger;292167493;99351;2
24;Alain;Robinson;88584273;99280;5
25;Alex;Gilles;595634963;99020;17
26;Alejandro;Bacong;89829303;97999;19
27;Alexandra;Kirill;343893544;96820;2
28;Allison;Lydon;478714272;95920;15
29;Hector;Barbossa;224034916;95660;18
30;Amy;Dunn;359157887;93554;15
31;Amy;Dunne;593183084;93396;3
32;Angela;Erilus;220719849;93206;1
33;Anna;Von Massenbach;416978025;93093;1
34;Annie;Wilkes;767000389;93046;18
35;Renee;Becker;313244554;92989;9
36;Anthony;Heitzman;103463410;92329;17
37;April;Evensen;497238372;92328;5
38;Ashley;Rose;294743646;90360;3
39;B'rigit;Carthy;753191640;90100;6
40;Barbara;Gaul;455477016;89883;19
41;Barbara;M Stanford;74008067;89292;19
42;Frank;Booth;655983654;88976;10
43;Barbara;Sutwell;117272922;88527;12
44;Barry;Wilber;358283937;87921;15
45;Mia;Brown;878204349;87826;7
46;Beatrice;Chace;336743768;87565;11
47;Benjamin;Burkett;960137335;86214;4
48;Betsy;Bondwell;470343994;85028;8
49;Brad;Pitt;813585181;84903;8
50;Max;Cady;789048180;83667;8
51;Bradley;J Knapp;856022126;83552;16
52;Judith;Carabbio;111345985;83363;9
53;Brannon;Miller;458892188;83082;20
54;Claudia;N Carr;234955938;82758;16
55;Michelle;Carter;170314860;81584;4
56;Brooke;Oliver;972986944;80512;4
57;Brian;Champaigne;928044282;77915;16
58;Bruno;Rossetti;439664609;77692;17
59;Calvin;Candie;497958319;76029;6
60;Anton;Chigurh;56092683;75281;12
61;Carl;Desimone;81026599;75188;14
62;Carla;Demita;416593131;74813;13
63;Rick;Clayton;715309424;74679;2
64;Carol;Anderson;623092474;74669;6
65;Caroline;Cierpiszewski;616052877;74417;16
66;Catherine;Ybarra;865912674;74326;12
67;Cayo;Gonzalez;956161121;74312;12
68;Charles;Bozzi;647454493;74241;6
69;Cherly;Robinson;59469057;74226;20
70;Christie;Harrington;814746459;73330;4
71;Clinton;Owad;835938346;72992;17
72;Frank;Costello;111535596;72640;18
73;Colleen;Volk;993981654;72609;12
74;Noah;Cross;421396344;72460;8
75;Lynn;Daneault;163791582;72202;1
76;Ann;Daniele;936786930;72106;6
77;Colleen;Zima;663607466;71966;2
78;Colombui;Ndzi;312840928;71860;16
79;Constance;Sloan;829369696;71776;20
80;Courtney;Beatrice;707678587;71707;3
81;Keyla;Del Bosque;300382685;71339;2
82;Alex;Delarge;514767484;70621;5
83;Courtney;E Wallace;914182956;70545;5
84;Cybil;Trzeciak;939464931;70507;13
85;Tommy;DeVito;150518943;70468;19
86;Dallas;Leach;994298522;70187;18
87;Jenna;Dietrich;608350825;70131;4
88;Daniel;Davis;978479010;69340;10
89;David;Gordon;501685340;68999;16
90;Linda;Dolan;454554530;68898;14
91;Eric;Dougall;353385283;68829;14
92;Elle;Driver;936346830;68678;14
93;Dawn;Motlagh;496801528;68407;17
94;Debbie;Mangal;876361385;68182;11
95;Denisa;S Dobrin;607084331;68099;16
96;Desiree;Tavares;544898981;68051;20
97;Dianna;Blount;457103714;67251;14
98;Donna;Brill;585878393;67237;16
99;Donovan;E Chang;164177910;67176;19
100;Earnest;Hankard;432755252;66825;17
101;Susan;Exantus;268546007;66808;6
102;Ebonee;Peterson;472572448;66738;7
103;Elias;Robinson;956086136;66593;3
104;Elijiah;Gray;156174549;66541;4
105;Elijian;Clukey;178482597;66441;12
106;Boba;Fett;768500651;66149;2
107;Elizabeth;Meads;362193305;66074;15
108;Enola;Chivukula;454527790;65902;15
109;Enrico;Langton;726055144;65893;8
110;Alex;Forrest;942484797;65729;17
111;Jason;Foss;118051856;65714;19
112;Amy;Foster-Baker;455307185;65707;8
113;Maruk;Fraval;735624983;65310;10
114;Lisa;Galia;117280306;65288;18
115;Erasumus;Monkfish;992588997;64995;11
116;Ermine;Pelletier;104625864;64991;14
117;Evelyn;Girifalco;635248295;64971;8
118;Francesco;A Barone;910247856;64955;12
119;Whitney;Gill;243276974;64919;10
120;Geoff;Dickinson;109900349;64816;10
121;George;Johnson;876456508;64786;16
122;Myriam;Givens;852909241;64738;4
123;Taisha;Goble;931275242;64724;8
124;Amon;Goeth;22497266;64520;1
125;Haley;Rivera;313659318;64397;16
126;Hang;T Wolk;244759492;64375;5
127;Hannah;Jacobi;848554044;64246;20
128;Maria;Gonzalez;880876731;64066;20
129;Hannibal;Lecter;430194206;64057;20
130;Hans;Landa;850435706;64021;16
131;Helen;Billis;772207899;63973;5
132;Hong;Pham;797368667;63878;12
133;Horia;Ndzi;392622946;63813;17
134;Jacquelyn;Williams;907079356;63763;19
135;Hans;Gruber;365164912;63695;7
136;Mike;Guilianno;281722233;63682;10
137;James;Cockel;471986197;63676;11
138;James;DeGweck;65857562;63515;18
139;Jane;Hudson;177919052;63478;6
140;Janine;Purinton;735840043;63450;19
141;Jason;Woodson;683049794;63430;10
142;Jean;Crimmings;659838732;63381;6
143;Alfred;Hitchcock;298071497;63353;11
144;Jean;Engdahl;83879351;63322;13
145;Jayne;Horton;819744591;63291;18
146;Debra;Houlihan;933800849;63108;2
147;Estelle;Howard;320538048;63051;1
148;Jeanette;Tippett;323786687;63025;3
149;Jene'ya;Darson;870310133;63025;9
150;Jennifer;Cloninger;701251857;63003;3
151;Jennifer;Medeiros;168504121;63000;18
152;Joanne;Handschiegl;711507649;62957;2
153;Joe;Smith;832061626;62910;19
154;Joelle;Burke;139110444;62810;7
155;John;Kretschmer;534941176;62659;11
156;Jordan;Winthrop;599196881;62514;14
157;Joseph;Buccheri;829248501;62506;5
158;Josephine;Bugali;424511246;62425;11
159;Noelle;Johnson;58593126;62385;8
160;Juan;Gonzalez;288021524;62162;8
161;Judy;Jung;977892781;62068;8
162;Donysha;Kampew;990657056;62065;2
163;Julissa;Hunts;698970969;62061;11
164;Bartholemew;Khemmich;350027527;61962;5
165;Kamrin;Sander;660421430;61844;2
166;Kara;Harrison;777267744;61809;3
167;Karen;Mancuso;725555637;61729;6
168;Kathleen;Kinsella;13978969;61656;8
169;Freddy;Kreuger;437106828;61584;17
170;Jyoti;Lajiri;263485811;61568;1
171;Kelley;Spirea;615337838;61555;5
172;Kenneth;Thibaud;8095605;61422;2
173;Ketsia;Liebig;976034366;61355;12
174;William;LaRotonda;776057001;61349;17
175;Kimberly;Beak;891911605;61242;13
176;Binh;Le;393647441;61242;8
177;Kissy;Sullivan;978237218;61154;8
178;Brandon;R LeBlanc;543908274;60754;15
179;Kramer;Keatts;557066255;60724;18
180;Giovanni;Leruth;494367940;60656;20
181;Kristen;Squatrito;421927165;60627;7
182;Kristie;Nowlan;452314830;60446;14
183;Lauren;Mahoney;747706186;60436;8
184;Leonara;Lindsay;592170122;60380;16
185;Lauren;Peters;982414548;60340;17
186;Lei-Ming;Nguyen;873694975;60270;13
187;Lenora;Tejeda;220874150;60120;11
188;Libby;Fidelia;885231845;60070;17
189;Lily;DiNocco;170432164;59892;3
190;Lin;Chan;949991245;59728;14
191;Linda;Anderson;246945843;59472;4
192;Linda;Bachiochi;590516121;59370;20
193;Lindsay;Lynch;532867922;59369;2
194;Sandra;Martin;652356669;59365;15
195;Lindsey;Langford;781078626;59238;20
196;Lisa;Cornett;545104397;59231;19
197;Lisa;Lunquist;367520063;59144;7
198;Jac;McKinzie;484563633;59124;15
199;Louis;Punjabhi;570414158;59026;2
200;Lowan;M Biden;976275252;58939;11
201;Luisa;Monterro;177303152;58709;6
202;Lynn;O'hare;601464935;58530;5
203;Maliki;Moumanil;936060177;58523;6
204;Peter;Monroe;412928651;58371;7
205;Marianne;Eaton;878771239;58370;12
206;Marilyn;Linares;484044975;58275;14
207;Tanya;Morway;244893525;58273;17
208;Martin;Smith;369428680;58207;17
209;Maryellen;Jackson;899793225;58062;3
210;Mathew;Linden;141669469;57975;14
211;Kurt;Navathe;166908895;57954;17
212;May;Roberson;724370157;57859;8
213;Megan;Faller;123404445;57834;16
214;Mei;Trang;979476513;57815;9
215;Melinda;Saar-Beckles;677663360;57815;11
216;Dheepa;Nguyen;960950801;57748;17
217;Melisa;Gerke;610677923;57583;9
218;Michael;Carey;392047374;57575;11
219;Michael;Corleone;720077880;57568;20
220;Michael;J Fitzpatrick;767660982;56991;2
221;Jasmine;Onque;980769875;56847;16
222;Michael;Myers;421169248;56339;9
223;Miguel;Estremera;488295611;56294;17
224;Travis;Ozark;522193027;56149;15
225;Mildred;Gentry;371274123;56147;14
226;Lucas;Patronick;543972523;55965;19
227;Randall;Pearson;106515117;55875;17
228;Ming;Huynh;478522620;55800;16
229;Mohammed;Latif;66504926;55722;12
230;Morissa;Power;764489341;55688;19
231;Nader;Barton;865886099;55578;20
232;Ned;Miller;394290321;55425;20
233;Nicole;Fancett;685479055;55315;10
234;Thelma;Petrowsky;194250965;55140;13
235;Nilson;Fernandes;877726620;55000;19
236;Nina;Panjwani;651074009;54933;11
237;Xana;Potts;828990601;54828;1
238;Nore;Sadki;710949373;54670;4
239;Nori;Sewkumar;371457025;54285;20
240;Norman;Bates;562132138;54237;7
241;Sean;Quinn;702334650;54132;11
242;Maggie;Rachael;288019702;54005;20
243;Patrick;Moran;657837683;53564;15
244;Kylo;Ren;916059131;53492;20
245;Paula;Gross;596998476;53366;10
246;Peter;Robertson;598533013;53250;5
247;Phil;Close;879107716;53189;19
248;Phylicia;Gosciminski;214894453;53180;3
249;Quinn;Rarrick;786598089;53171;3
250;Rachael;Baczenski;349336449;53060;16
251;Randy;Dee;750565929;53018;12
252;Lori;Roby;438222622;52984;18
253;Bianca;Roehrich;478015001;52846;20
254;Katie;Roper;288614978;52788;9
255;Raul;Garcia;197858172;52674;15
256;Rex;England;641370607;52624;8
257;Simon;Roup;80471471;52599;17
258;Ricardo;Ruiz;452390819;52505;15
259;Adell;Saada;647686538;52249;12
260;Richard;Newman;394307107;52177;18
261;Rick;Stoica;630007175;52087;2
262;Robyn;Manchester;397420368;52057;6
263;Jason;Salter;563438812;51920;8
264;Roger;Walker;963895800;51908;5
265;Rosalie;Hutter;736451440;51777;5
266;Anita;Shepard;264103717;51505;8
267;Rose;Ivey;544525420;51337;10
268;Kramer;Simard;878233751;51259;6
269;Nan;Singh;492516439;51044;19
270;Roxana;Goyal;319850340;50923;20
271;Sade;Smith;654204569;50825;10
272;John;Smith;182869493;50750;18
273;Leigh;Ann Smith;688149710;50482;1
274;Sam;Athwal;353989339;50470;5
275;Julia;Soto;908133920;50428;16
276;Keyser;Soze;902618214;50373;9
277;Samuel;MacLennan;305384938;50274;4
