EmployeeID;FirstName;LastName;SSN;Salary;Department;Budget;StaffSize
1;Janet;King;1527462;250000;Distribution & Shipment;37715992;10
2;Jennifer;Zamora;3944824;220450;Purchase & Procurement;92929518;12
3;Debra;Houlihan;1348773;180000;Human Resource;48607785;13
4;Jason;Foss;6199121;178000;Tax & Audit;45220839;18
5;Vito;Corleone;9306112;170500;Consultancy;25040665;10
6;Peter;Monroe;4697718;157000;Board of Directors;56539075;18
7;Katie;Roper;1248359;150290;Asset Management;14804693;18
8;Bianca;Roehrich;3387604;120000;Real Estate & Facility;72819850;13
9;Brian;Champaigne;1119649;110929;General Management;97198503;14
10;Renee;Becker;9936818;110000;Governance;86901143;11
11;Lucas;Patronick;2801106;108987;Risk Management;55025653;13
12;Sarah;Warfield;1808807;107226;Production;54527825;14
13;Bonalyn;Boutwell;7031069;106367;Compliance;53092178;7
14;Noelle;Johnson;3363668;105700;Research;37964848;18
15;Frank;Booth;5747276;103613;Fianance & Accounting;28509178;15
16;Susan;Exantus;2322291;99280;Legal;54679654;9
17;Hans;Gruber;7054755;99020;Operations;60731185;17
18;Jayne;Horton;6092523;97999;Public Affairs;33618587;17
19;Tommy;DeVito;4258458;96820;Alpha Department;56507109;11
20;Colby;Andreola;3522396;95660;Information Technology / Datawarehouse;40808340;7
