CustomerID;LastName;FirstName;CustomerSince;DepositBalance;InvestmentDate;DueDate
1;Yerbouti;Sheikh;22.08.86;6921;22.08.86;30.09.10
2;Hawk;Mike;08.07.63;1690;08.07.63;12.08.00
2;Hawk;Mike;08.07.63;1698;11.07.63;25.01.93
2;Hawk;Mike;08.07.63;276;15.07.63;01.01.03
2;Hawk;Mike;08.07.63;8326;15.07.63;15.10.66
3;Dover;Ben;19.07.70;6242;24.07.70;25.12.00
4;Nmakrak;Maposi;07.08.86;6072;12.08.86;31.12.90
5;Litoris;Mike;17.09.99;5881;27.09.99;01.02.25
6;Bobsgu;Juerdo;30.09.67;2155;07.10.67;01.03.12
6;Bobsgu;Juerdo;30.09.67;6859;01.10.67;01.04.95
6;Bobsgu;Juerdo;30.09.67;8009;09.10.67;05.09.99
6;Bobsgu;Juerdo;30.09.67;1258;03.10.67;04.08.80
7;Tickles;Tess;05.08.98;511;10.08.98;06.09.98
8;Cyder;Dickins;01.02.62;371;01.02.62;12.08.00
9;Inma Shool;Ramit;04.08.70;2891;06.08.70;18.05.10
10;Sheith;Ho-Lee;19.11.04;5809;28.11.04;30.12.40
10;Sheith;Ho-Lee;19.11.04;1063;25.11.04;01.01.45
11;Zib;Akbar;12.04.99;371;01.02.62;12.12.21
11;Zib;Akbar;12.04.99;2891;06.08.70;01.11.75
12;Bic;Phuc Dat;11.09.01;5809;28.11.04;01.05.45
13;Dehk;Sukkma;14.03.00;1063;25.11.04;10.10.50
18;Onzima;Julian-Pepé;30.11.98;3518;21.11.04;04.01.22
