EmployeeID;FirstName;LastName;SSN;Salary;ManId
10155;Keyla;Del;2987042;101199;10272
10102;Edward;Thomas;3739436;100416;10245
10082;Claudia;N;5450968;100031;10270
10080;Amy;Foster-Baker;6699595;99351;10290
10290;Susan;Exantus;2322291;99280;10127
10234;Hans;Gruber;7054755;99020;10010
10112;Jayne;Horton;6092523;97999;10108
10197;Tommy;DeVito;4258458;96820;10149
10239;Maggie;Rachael;8534353;95920;10156
10194;Colby;Andreola;3522396;95660;10108
10016;Thelma;Petrowsky;1840198;93554;10112
10085;Judith;Carabbio;1272983;93396;10015
10113;Jyoti;Lajiri;3695203;93206;10010
10259;Randall;Pearson;2057991;93093;10010
10134;Brandon;R;9759292;93046;10234
10024;Andrew;Szabo;8380282;92989;10272
10083;Noah;Cross;4838818;92329;10086
10012;Hector;Barbossa;2277818;92328;10156
10312;Andrew;Tate;3255441;90360;10199
10173;Biff;Biff;7302867;90100;10270
10162;Lori;Lori;2579656;89883;10288
10043;Julia;Julia;7553899;89292;10086
10144;Vincent;Vincent;1847753;88976;10015
10229;Jason;Jason;8799734;88527;10108
10079;Kurt;Kurt;5650001;87921;10127
10178;Kramer;Kramer;1534411;87826;10234
10180;Keyser;Keyser;5870556;87565;10199
10126;Adell;Adell;2776767;86214;10156
10212;Ann;Ann;9951506;85028;10234
10172;Charlie;Charlie;3635253;84903;10245
10116;Brannon;Brannon;6067809;83667;10156
10193;Frank;Frank;9607579;83552;10005
10131;Sean;Sean;8817126;83363;10015
10289;Walter;Walter;2408163;83082;10149
10092;Hans;Hans;7688252;82758;10172
10232;Binh;Binh;7450893;81584;10172
10274;Courtney;Courtney;2195255;80512;10108
10017;Ketsia;Ketsia;2047256;77915;10127
10150;Max;Max;3568446;77692;10272
10045;Jumil;Jumil;7731268;76029;10156
10044;Neville;Neville;9005524;75281;10288
10105;Amy;Amy;1062469;75188;10015
10270;Cybil;Cybil;1952767;74813;10089
10228;Amon;Amon;3653048;74679;10288
10130;Ebonee;Ebonee;3033314;74669;10108
10120;Maliki;Maliki;1714338;74417;10290
10188;Jessica;Jessica;4684013;74326;10172
10175;Charles;Charles;5231326;74312;10234
10006;Elle;Elle;4146714;74241;10234
10217;Shana;Shana;1173997;74226;10156
10035;Lisa;Lisa;7744326;73330;10288
10291;John;John;7864903;72992;10081
10001;Calvin;Calvin;9461112;72640;10108
10093;Michael;Michael;3325019;72609;10156
10025;Luisa;Luisa;1815726;72460;10149
10146;Lenora;Lenora;9959405;72202;10108
10223;Patrick;Patrick;7371037;72106;10290
10078;Brooke;Brooke;5374994;71966;10089
10040;Michelle;Michelle;3869102;71860;10172
10263;Megan;Megan;3270545;71776;10112
10109;Mike;Mike;7225887;71707;10019
10165;Freddy;Freddy;2578105;71339;10194
10133;Linda;Linda;2431096;70621;10234
10167;Alfred;Alfred;1531087;70545;10197
10033;Jordan;Jordan;3690000;70507;10172
10103;Giovanni;Giovanni;9745004;70468;10127
10305;Alex;Alex;4457499;70187;10086
10023;Kimberly;Kimberly;2222235;70131;10086
10201;Julissa;Julissa;9056486;69340;10290
10244;Donysha;Donysha;7757690;68999;10019
10300;Juan;Juan;9071984;68898;10015
10041;Travis;Travis;7390495;68829;10081
10220;Rick;Rick;5520431;68678;10127
10073;Karen;Karen;1779492;68407;10005
10160;Ming;Ming;5485691;68182;10127
10075;Trina;Trina;1972363;68099;10272
10282;Michael;Michael;6567476;68051;10112
10258;Maruk;Maruk;1529993;67251;10288
10096;Susan;Susan;8898602;67237;10199
10268;Kenneth;Kenneth;9899708;67176;10005
10237;Susan;Susan;6754118;66825;10272
10200;Anton;Anton;9412541;66808;10234
10104;Kristie;Kristie;8595583;66738;10199
10119;Julia;Julia;6767892;66593;10245
10190;Roger;Roger;2903227;66541;10245
10294;Dianna;Dianna;8748424;66441;10288
10218;Phylicia;Phylicia;2732201;66149;10015
10106;Lindsey;Lindsey;2553326;66074;10086
10136;Nicole;Nicole;8870697;65902;10199
10135;Jason;Jason;1097234;65893;10112
10099;Lynn;Lynn;6703794;65729;10015
10090;Kelley;Kelley;6713238;65714;10197
10273;Lisa;Lisa;8674622;65707;10086
10231;Bartholemew;Bartholemew;1959844;65310;10156
10184;Joseph;Joseph;8789835;65288;10112
10214;Rosalie;Rosalie;5416558;64995;10234
10088;Trina;Trina;1769179;64991;10127
10230;May;May;9525827;64971;10149
10196;Sarah;Sarah;2496638;64955;10010
10226;Lowan;Lowan;3096764;64919;10015
10168;Caroline;Caroline;2060018;64816;10112
10240;Enola;Enola;4561779;64786;10270
10251;Hannibal;Hannibal;1581490;64738;10019
10050;Hong;Hong;4055663;64724;10127
10038;William;William;3153472;64520;10086
10013;Jack;Jack;9186860;64397;10112
10203;Josephine;Josephine;3640243;64375;10288
10074;Earnest;Earnest;7053091;64246;10288
10275;Jennifer;Jennifer;6193832;64066;10197
10308;Nilson;Nilson;4949516;64057;10290
10302;Taylor;Taylor;4806233;64021;10005
10176;John;John;8132937;63973;10010
10095;Constance;Constance;3874191;63878;10005
10059;Paula;Paula;3266344;63813;10112
10107;Joelle;Joelle;1961210;63763;10288
10042;Dheepa;Dheepa;4895933;63695;10149
10158;Kissy;Kissy;8702844;63682;10270
10087;Dallas;Dallas;3833809;63676;10172
10148;Nina;Nina;9433984;63515;10086
10195;Adrienne;Adrienne;5318975;63478;10089
10137;Mathew;Mathew;5803582;63450;10288
10254;Dawn;Dawn;5364096;63430;10005
10094;Lisa;Lisa;4708253;63381;10272
10020;Elias;Elias;7088666;63353;10086
